Type,Name,Path,ItemCountImmediate,ItemCountTotal,FolderSizeBytes,FileSizeBytes,LastWriteTime,UserHasAccess
Folder,20 INTERVIAL SUCURSAL (PANAMA),\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA),1,17,77227658,,2025-05-26T07:00:44-07:00,True
Folder,DOCUMENTOS,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS,2,16,77227658,,2025-05-26T07:56:36-07:00,True
Folder,Intervial Sucursal,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Intervial Sucursal,7,7,63855306,,2025-06-10T14:46:12-07:00,True
Folder,Ruta del Este,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Ruta del Este,7,7,13372352,,2025-09-30T05:52:44-07:00,True
File,Endoso No. 1 de la FIANZA de Cumplimiento (Entregada a la firma del Contrato).pdf,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Intervial Sucursal\Endoso No. 1 de la FIANZA de Cumplimiento (Entregada a la firma del Contrato).pdf,,,,53272,2025-05-26T07:02:15-07:00,True
File,Escritura Pública 2982 de 28 febrer0 2025 - SUCURSAL INTERVIAL CHILE.pdf,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Intervial Sucursal\Escritura Pública 2982 de 28 febrer0 2025 - SUCURSAL INTERVIAL CHILE.pdf,,,,2734281,2025-03-03T06:17:35-08:00,True
File,Fac 0029  Interval Chile (Admin de proyectos).pdf,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Intervial Sucursal\Fac 0029  Interval Chile (Admin de proyectos).pdf,,,,62446,2025-05-22T06:36:00-07:00,True
File,FIANZA de Cumplimiento  (Entregada a la firma del Contrato).pdf,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Intervial Sucursal\FIANZA de Cumplimiento  (Entregada a la firma del Contrato).pdf,,,,705265,2025-05-26T07:01:54-07:00,True
File,Propuesta economica del pago del MOP.pdf,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Intervial Sucursal\Propuesta economica del pago del MOP.pdf,,,,99797,2025-06-10T14:46:12-07:00,True
File,SUBCONTRATO DE CONSTRUCCION RDE_INTERVIAL CHILE.pdf,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Intervial Sucursal\SUBCONTRATO DE CONSTRUCCION RDE_INTERVIAL CHILE.pdf,,,,55115437,2025-05-26T15:38:15-07:00,True
File,SubContrato Intervial OHLA firmado.pdf,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Intervial Sucursal\SubContrato Intervial OHLA firmado.pdf,,,,5084808,2025-05-26T07:01:30-07:00,True
File,Anexo N°3 Plan de Inversión.pdf,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Ruta del Este\Anexo N°3 Plan de Inversión.pdf,,,,122867,2025-05-22T16:07:00-07:00,True
File,buscar 2023-0-09-0-99-AP-008446+Contrato+de+APP+modificado+por+la+Adenda+9 (3) 1.pdf,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Ruta del Este\buscar 2023-0-09-0-99-AP-008446+Contrato+de+APP+modificado+por+la+Adenda+9 (3) 1.pdf,,,,1397376,2025-05-26T07:52:20-07:00,True
File,DOCUMENTO 1 Contrato RDE-Intervial.docx,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Ruta del Este\DOCUMENTO 1 Contrato RDE-Intervial.docx,,,,19532,2025-05-26T07:05:59-07:00,True
File,DOCUMENTO 2 Contrato RDE-Intervial.docx,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Ruta del Este\DOCUMENTO 2 Contrato RDE-Intervial.docx,,,,4072027,2025-05-26T07:06:10-07:00,True
File,DOCUMENTO 3 - Plan de Operaciones.pdf,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Ruta del Este\DOCUMENTO 3 - Plan de Operaciones.pdf,,,,647364,2025-05-26T07:06:17-07:00,True
File,DOCUMENTO 4.docx,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Ruta del Este\DOCUMENTO 4.docx,,,,14016,2025-05-26T07:05:54-07:00,True
File,Plan de Obras.pdf,\\192.168.98.19\UnidadX\1CONTABILIDAD\20 INTERVIAL SUCURSAL (PANAMA)\DOCUMENTOS\Ruta del Este\Plan de Obras.pdf,,,,7099170,2025-05-26T09:15:39-07:00,True
