Type,Name,Path,ItemCountImmediate,ItemCountTotal,FolderSizeBytes,FileSizeBytes,LastWriteTime,UserHasAccess
Folder,6 AUDITORIAS,\\192.168.98.19\UnidadX\1CONTABILIDAD\6 AUDITORIAS,13,0,0,,2025-06-02T12:36:49-07:00,False
Folder,2011 EY,\\192.168.98.19\UnidadX\1CONTABILIDAD\6 AUDITORIAS\2011 EY,0,0,0,,2024-04-17T12:19:28-07:00,False
Folder,2014,\\192.168.98.19\UnidadX\1CONTABILIDAD\6 AUDITORIAS\2014,0,0,0,,2017-03-27T17:22:59-07:00,False
Folder,2016,\\192.168.98.19\UnidadX\1CONTABILIDAD\6 AUDITORIAS\2016,0,0,0,,2017-03-27T17:27:32-07:00,False
Folder,2018 EY,\\192.168.98.19\UnidadX\1CONTABILIDAD\6 AUDITORIAS\2018 EY,0,0,0,,2019-01-17T04:22:58-08:00,False
Folder,2019 EY,\\192.168.98.19\UnidadX\1CONTABILIDAD\6 AUDITORIAS\2019 EY,0,0,0,,2021-01-25T02:32:44-08:00,False
Folder,2020 EY,\\192.168.98.19\UnidadX\1CONTABILIDAD\6 AUDITORIAS\2020 EY,0,0,0,,2021-12-27T11:17:32-08:00,False
Folder,2021 DELOITTE,\\192.168.98.19\UnidadX\1CONTABILIDAD\6 AUDITORIAS\2021 DELOITTE,0,0,0,,2022-04-13T13:02:08-07:00,False
Folder,2022 EY,\\192.168.98.19\UnidadX\1CONTABILIDAD\6 AUDITORIAS\2022 EY,0,0,0,,2024-02-14T09:09:38-08:00,False
Folder,2023 EY,\\192.168.98.19\UnidadX\1CONTABILIDAD\6 AUDITORIAS\2023 EY,0,0,0,,2023-12-20T09:12:10-08:00,False
Folder,2024 EY,\\192.168.98.19\UnidadX\1CONTABILIDAD\6 AUDITORIAS\2024 EY,4,2297,2639827716,,2024-10-14T14:04:23-07:00,True
Folder,2025 DELOITTE,\\192.168.98.19\UnidadX\1CONTABILIDAD\6 AUDITORIAS\2025 DELOITTE,20,1520,1388001747,,2025-08-04T05:05:42-07:00,True
Folder,INFORMES AUDITADOS,\\192.168.98.19\UnidadX\1CONTABILIDAD\6 AUDITORIAS\INFORMES AUDITADOS,0,0,0,,2025-06-03T12:17:53-07:00,False
