Type,Name,Path,ItemCountImmediate,ItemCountTotal,FolderSizeBytes,FileSizeBytes,LastWriteTime,UserHasAccess
Folder,Capacitaciones Maipo,\\192.168.98.19\UnidadX\1CONTABILIDAD\Capacitaciones Maipo,2,11,894691680,,2025-03-07T04:40:55-08:00,True
Folder,emerson,\\192.168.98.19\UnidadX\1CONTABILIDAD\Capacitaciones Maipo\emerson,0,0,0,,2025-03-07T04:20:56-08:00,True
Folder,victor,\\192.168.98.19\UnidadX\1CONTABILIDAD\Capacitaciones Maipo\victor,9,9,894691680,,2025-03-07T04:20:53-08:00,True
File,1.MLFF-traficos y suma alzada.mp4,\\192.168.98.19\UnidadX\1CONTABILIDAD\Capacitaciones Maipo\victor\1.MLFF-traficos y suma alzada.mp4,,,,159232429,2024-04-03T07:13:23-07:00,True
File,2.Cierre de facturación Real.mp4,\\192.168.98.19\UnidadX\1CONTABILIDAD\Capacitaciones Maipo\victor\2.Cierre de facturación Real.mp4,,,,44367333,2024-04-03T07:33:09-07:00,True
File,3. ingreso car8-9.mp4,\\192.168.98.19\UnidadX\1CONTABILIDAD\Capacitaciones Maipo\victor\3. ingreso car8-9.mp4,,,,99275421,2024-04-03T06:48:18-07:00,True
File,4. cierre parcial de facturación-20240321_152736-Grabación de la reunión.mp4,\\192.168.98.19\UnidadX\1CONTABILIDAD\Capacitaciones Maipo\victor\4. cierre parcial de facturación-20240321_152736-Grabación de la reunión.mp4,,,,68798599,2024-04-03T06:49:43-07:00,True
File,5. Alta TAG-20240320_150258-Grabación de la reunión.mp4,\\192.168.98.19\UnidadX\1CONTABILIDAD\Capacitaciones Maipo\victor\5. Alta TAG-20240320_150258-Grabación de la reunión.mp4,,,,76044631,2024-04-03T06:49:05-07:00,True
File,6. Estimado cierre-20240325_170210-Grabación de la reunión.mp4,\\192.168.98.19\UnidadX\1CONTABILIDAD\Capacitaciones Maipo\victor\6. Estimado cierre-20240325_170210-Grabación de la reunión.mp4,,,,119238977,2024-04-03T07:02:09-07:00,True
File,7. Distribución por CECO's transitos propios MAIP-20240327_160326-Grabación de la reunión.mp4,\\192.168.98.19\UnidadX\1CONTABILIDAD\Capacitaciones Maipo\victor\7. Distribución por CECO's transitos propios MAIP-20240327_160326-Grabación de la reunión.mp4,,,,92918029,2024-04-05T05:19:32-07:00,True
File,creación activos fijos-20240813_120515-Grabación de la reunión.mp4,\\192.168.98.19\UnidadX\1CONTABILIDAD\Capacitaciones Maipo\victor\creación activos fijos-20240813_120515-Grabación de la reunión.mp4,,,,57184489,2024-08-30T06:27:57-07:00,True
File,Ingreso porcentajes de actualización corrección monetaria-20240227_103409-Grabación de la reunión.mp4,\\192.168.98.19\UnidadX\1CONTABILIDAD\Capacitaciones Maipo\victor\Ingreso porcentajes de actualización corrección monetaria-20240227_103409-Grabación de la reunión.mp4,,,,177631772,2024-06-24T06:24:41-07:00,True
