Type,Name,Path,ItemCountImmediate,ItemCountTotal,FolderSizeBytes,FileSizeBytes,LastWriteTime,UserHasAccess
Folder,INFORMACIÓN EMANUEL,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL,39,1460,8825329938,,2025-07-17T14:12:40-07:00,True
Folder,AFinanciero,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\AFinanciero,3,5,6265040,,2024-07-09T16:16:27-07:00,True
Folder,AUDITORIAS,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\AUDITORIAS,10,400,477765986,,2024-07-09T16:02:17-07:00,True
Folder,CALENDARIOS DE CIERRE,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\CALENDARIOS DE CIERRE,18,31,6543756,,2025-07-22T13:24:17-07:00,True
Folder,CAMBIO ACTIVO FINANCIERO CLP - UF Sept 2022,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\CAMBIO ACTIVO FINANCIERO CLP - UF Sept 2022,32,32,23961151,,2024-07-09T16:19:17-07:00,True
Folder,Centro Servcios compartidos CSC,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\Centro Servcios compartidos CSC,55,74,43324606,,2025-05-12T14:55:26-07:00,True
Folder,Chazey patners,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\Chazey patners,9,9,3906760,,2024-07-09T16:20:09-07:00,True
Folder,CIERRES CONTABLES MENSUALES,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\CIERRES CONTABLES MENSUALES,11,286,741671450,,2024-07-09T16:03:59-07:00,True
Folder,DEUDA INCO-CABA,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\DEUDA INCO-CABA,7,7,18417001,,2024-07-09T16:20:07-07:00,True
Folder,DIRECTORIOS Y COMITES,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\DIRECTORIOS Y COMITES,19,45,157940329,,2024-07-09T16:21:12-07:00,True
Folder,Disolución Maule,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\Disolución Maule,16,16,19918005,,2024-07-09T16:04:20-07:00,True
Folder,Distribución Dividendos,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\Distribución Dividendos,4,4,8556604,,2024-07-09T16:04:21-07:00,True
Folder,Escicion INCH,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\Escicion INCH,33,34,22452203,,2024-07-09T16:04:28-07:00,True
Folder,Estrucuta SAP CECO,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\Estrucuta SAP CECO,2,2,403980,,2024-07-09T16:20:32-07:00,True
Folder,GALAPA,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\GALAPA,1,1,2288964,,2024-07-09T16:04:28-07:00,True
Folder,GARANTIAS,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\GARANTIAS,1,1,380416,,2024-07-09T16:19:37-07:00,True
Folder,Incobrables Maipo 2023,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\Incobrables Maipo 2023,7,7,11092717,,2024-10-16T15:25:30-07:00,True
Folder,Indicio de deterioro,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\Indicio de deterioro,7,7,2158051,,2024-07-09T16:04:32-07:00,True
Folder,INVI y Condor,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\INVI y Condor,5,5,2790442,,2024-07-09T16:04:32-07:00,True
Folder,Materialidad,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\Materialidad,1,1,186036,,2024-07-09T16:04:33-07:00,True
Folder,MATRIZ DE RIESGO,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\MATRIZ DE RIESGO,7,7,6764217,,2024-08-13T06:28:27-07:00,True
Folder,Memorias,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\Memorias,14,19,83778284,,2024-07-09T16:04:46-07:00,True
Folder,Metodologia XM,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\Metodologia XM,4,4,10922830,,2024-07-09T16:04:49-07:00,True
Folder,Modulo Activo Financiero en SAP,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\Modulo Activo Financiero en SAP,6,6,2089407,,2024-07-09T16:04:50-07:00,True
Folder,MODULO MM,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\MODULO MM,2,2,26955220,,2024-07-09T16:04:52-07:00,True
Folder,PODERES,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\PODERES,1,1,31903,,2024-09-11T10:22:56-07:00,True
Folder,Prepagos,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\Prepagos,11,11,24901481,,2024-07-09T16:04:57-07:00,True
Folder,Presentación Directorio,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\Presentación Directorio,11,11,75889547,,2024-09-11T10:38:35-07:00,True
Folder,Presentaciones,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\Presentaciones,27,27,95125644,,2024-10-15T05:07:08-07:00,True
Folder,REPORTES,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\REPORTES,104,145,66141372,,2024-07-09T16:06:03-07:00,True
Folder,SOX,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\SOX,52,96,156101184,,2024-07-09T16:06:37-07:00,True
Folder,TRIBUTARIA,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\TRIBUTARIA,27,125,6622409961,,2024-07-09T16:16:10-07:00,True
Folder,ANALISIS DE VARIACIONES,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\AFinanciero\ANALISIS DE VARIACIONES,2,2,4590954,,2024-07-09T16:16:27-07:00,True
Folder,AUDITORIA 2020,\\192.168.98.19\UnidadX\1CONTABILIDAD\INFORMACIÓN EMANUEL\AUDITORIAS\AUDITORIA 2020,3,4,286334,,2024-07-09T15:59:59-07:00,True
