Type,Name,Path,ItemCountImmediate,ItemCountTotal,FolderSizeBytes,FileSizeBytes,LastWriteTime,UserHasAccess
Folder,Presupuesto y Contratos SubGerencia Contabilidad,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad,2,186,220372660,,2024-07-04T13:32:06-07:00,True
Folder,Contratos CC Contabilidad,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad,36,136,85530977,,2024-07-09T15:51:05-07:00,True
Folder,PPTO CONTABILIDAD,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\PPTO CONTABILIDAD,4,48,134841683,,2024-07-04T13:32:02-07:00,True
Folder,Base Firma - Servicio de Precio transferencia Interchile - Isa Inversiones,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\Base Firma - Servicio de Precio transferencia Interchile - Isa Inversiones,2,2,2126188,,2024-07-04T13:32:10-07:00,True
Folder,Contrato Centro de Servicios Compartidos,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\Contrato Centro de Servicios Compartidos,8,8,4789015,,2024-07-04T13:32:12-07:00,True
Folder,Contrato XM,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\Contrato XM,1,6,9664850,,2024-07-04T13:32:12-07:00,True
Folder,Deloitte 2021,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\Deloitte 2021,2,2,1131130,,2024-07-04T13:32:14-07:00,True
Folder,EY 2022,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\EY 2022,15,15,15846718,,2024-07-04T13:32:19-07:00,True
Folder,EY 2023,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\EY 2023,14,34,29838281,,2024-07-04T13:32:30-07:00,True
Folder,EY 2024,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\EY 2024,13,13,4352477,,2024-07-04T13:32:45-07:00,True
Folder,Iron Mountain 2023,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\Iron Mountain 2023,1,1,746541,,2024-07-04T13:32:45-07:00,True
Folder,ISA CHILE,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\ISA CHILE,3,3,1113532,,2024-07-04T13:32:46-07:00,True
Folder,IZFE,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\IZFE,2,5,1643157,,2024-07-09T15:45:27-07:00,True
Folder,KPMG 2021,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\KPMG 2021,1,1,543672,,2024-07-04T13:32:48-07:00,True
Folder,KPMG 2022,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\KPMG 2022,1,1,132788,,2024-07-04T13:32:49-07:00,True
Folder,KPMG 2023,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\KPMG 2023,2,2,709979,,2024-07-04T13:32:50-07:00,True
Folder,KPMG 2024,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\KPMG 2024,2,2,1186478,,2024-07-04T13:32:51-07:00,True
Folder,VIM,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\VIM,5,5,3432425,,2024-07-04T13:32:53-07:00,True
Folder,Carlos Andres Morales 2023,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\Contrato XM\Carlos Andres Morales 2023,5,5,9664850,,2024-07-04T13:32:13-07:00,True
Folder,Carta de compromiso 2023,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\EY 2023\Carta de compromiso 2023,11,20,2830520,,2024-07-04T13:32:36-07:00,True
Folder,Word,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\EY 2023\Carta de compromiso 2023\Word,9,9,924967,,2024-07-04T13:32:37-07:00,True
Folder,ANEXOS,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\IZFE\ANEXOS,3,3,368671,,2025-04-15T06:16:19-07:00,True
Folder,2022,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\PPTO CONTABILIDAD\2022,6,6,9060475,,2024-07-04T13:31:53-07:00,True
Folder,2023,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\PPTO CONTABILIDAD\2023,19,19,77488287,,2024-08-14T14:02:01-07:00,True
Folder,2024,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\PPTO CONTABILIDAD\2024,10,19,46597069,,2024-12-19T04:58:49-08:00,True
Folder,11 2024 explicaciones,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\PPTO CONTABILIDAD\2024\11 2024 explicaciones,4,4,4015197,,2024-12-19T07:42:00-08:00,True
Folder,22-07-24,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\PPTO CONTABILIDAD\2024\22-07-24,5,5,2859784,,2024-07-25T16:42:56-07:00,True
File,Adendum contrato_GL6805_-_Intervial_IZFE abril 2024.pdf,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\Adendum contrato_GL6805_-_Intervial_IZFE abril 2024.pdf,,,,442896,2024-04-19T11:24:48-07:00,True
File,Carta Informa Término de Contato de Admin de Flujo Caja e Inversiones MAULE_INTEVIAL 31.10.2023.pdf,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\Carta Informa Término de Contato de Admin de Flujo Caja e Inversiones MAULE_INTEVIAL 31.10.2023.pdf,,,,225834,2023-12-13T04:53:36-08:00,True
File,contratos.xlsx,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\contratos.xlsx,,,,12015,2022-02-02T12:22:01-08:00,True
File,Evaluación contrato EY 2024.pdf,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\Evaluación contrato EY 2024.pdf,,,,284967,2024-07-03T08:20:38-07:00,True
File,Evaluación Deloitte 2021 - copia.xlsx,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\Evaluación Deloitte 2021 - copia.xlsx,,,,151561,2022-04-05T07:19:47-07:00,True
File,Evaluación IZFE 2022.xlsx,\\192.168.98.19\UnidadX\1CONTABILIDAD\Presupuesto y Contratos SubGerencia Contabilidad\Contratos CC Contabilidad\Evaluación IZFE 2022.xlsx,,,,150742,2022-10-10T17:02:04-07:00,True
