Type,Name,Path,ItemCountImmediate,ItemCountTotal,FolderSizeBytes,FileSizeBytes,LastWriteTime,UserHasAccess
Folder,Solped y EM,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM,32,563,513848405,,2025-09-22T14:49:09-07:00,True
Folder,BaseFirma,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\BaseFirma,16,65,20094969,,2025-09-25T15:41:12-07:00,True
Folder,CCL AUDITORES,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\CCL AUDITORES,4,10,8570067,,2025-09-25T13:34:02-07:00,True
Folder,Contratos,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\Contratos,6,18,11223318,,2024-12-06T12:43:58-08:00,True
Folder,DCTOS ENVIADO A CENTRO DE SERVICIOS TRAWUM,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\DCTOS ENVIADO A CENTRO DE SERVICIOS TRAWUM,2,7,1084966,,2025-05-26T08:34:30-07:00,True
Folder,Deloitte,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\Deloitte,6,18,12912507,,2025-09-29T14:37:44-07:00,True
Folder,Entrada mercaderia y OE-OC,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\Entrada mercaderia y OE-OC,9,9,3336426,,2024-11-05T04:25:38-08:00,True
Folder,EY Auditoria anual,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\EY Auditoria anual,10,62,16585838,,2025-04-21T16:56:15-07:00,True
Folder,grabaciones,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\grabaciones,2,2,360639714,,2024-11-05T04:27:31-08:00,True
Folder,INCO,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\INCO,2,2,376635,,2025-07-04T06:21:45-07:00,True
Folder,Intercolombia,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\Intercolombia,5,12,4047661,,2025-09-22T14:48:50-07:00,True
Folder,Iron Mountain,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\Iron Mountain,4,44,4547825,,2025-07-24T05:51:07-07:00,True
Folder,Izquierdo y Fdez,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\Izquierdo y Fdez,10,60,8026484,,2025-09-22T12:55:35-07:00,True
Folder,KPMG,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\KPMG,8,195,28426586,,2025-09-17T09:28:25-07:00,True
Folder,NÚMERO SOLICITUD SOLPED,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\NÚMERO SOLICITUD SOLPED,1,1,256146,,2025-04-16T13:32:14-07:00,True
Folder,OE enviadas a KPMG- Iron Mountain-IZQ Y FDEZ-BASEFIRMA-EY,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\OE enviadas a KPMG- Iron Mountain-IZQ Y FDEZ-BASEFIRMA-EY,1,1,10990,,2025-05-20T12:33:42-07:00,True
Folder,respaldos de solped,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\respaldos de solped,6,19,28196863,,2024-11-05T04:30:47-08:00,True
Folder,Ruta del este,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\Ruta del este,6,6,1153950,,2025-09-23T11:37:37-07:00,True
Folder,01 2025,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\BaseFirma\01 2025,10,10,3851605,,2025-07-11T06:41:20-07:00,True
Folder,04 2025,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\BaseFirma\04 2025,1,1,91631,,2025-05-15T16:32:51-07:00,True
Folder,08 2025,\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\BaseFirma\08 2025,10,10,3043768,,2025-09-16T13:11:01-07:00,True
